isbn,title,authors,publisher,year
9780552113137,The White Dragon,Anne McCaffrey,Corgi,1980
9781840460964,Introducing Stephen Hawking,"J. P. McEvoy, Oscar Zarate",Icon Books UK,2001
9781784875442,Housekeeper and the Professor - Vintage Classics Japanese Series,小川洋子,Penguin Random House,2019
9780590660549,Northern Lights,Philip Pullman,Scholastic,1998
9781407154190,The ruby in the smoke,Philip Pullman,Scholastic,2015
9780241482674,Dancing Face: Black Britain - Writing Back,"Mike Phillips, Bernardine Evaristo","Penguin Books, Limited",2021
9781844281008,Life - an exploded diagram,Mal Peet,Walker,2011
9780439944687,"The Amber Spyglass (His Dark Materials, Book 3)",Philip Pullman,Knopf Books for Young Readers,1999
9780141987286,Afropean - Notes from Black Europe,Johny Pitts,Penguin,2020
9781407130231,The Subtle Knife,Philip Pullman,Scholastic,2011
9780241982976,Becoming,Michelle Obama,,
9781444907513,Pegasus And The New Olympians,Kate O'Hearn,Hodder Children's Books,2012
9781783443765,We Are All Made of Molecules,Susin Nielsen,Andersen Press,2016
9780751540642,The Host,Stephenie Meyer,Sphere,2013
9780603568381,Michael Morpurgo Long Way Home,Michael Morpurgo,Farshore,2012
9781405273442,Me and Mr J,Rachel McIntyre,Electric Monkey,2015
9781784701345,Rising Man,Abir Mukherjee,Penguin Random House,2017
9780099760115,Beloved,Toni Morrison,Vintage Books,1997
9780099493099,Unbowed - One Woman's Story,Wangari Maathai,Penguin Random House,2007
9780140586527,Blazing Fruit,"McGough, Roger.",Penguin Books Ltd,1990
9781405226660,War Horse,"Michael Morpurgo, Mercè Santaularia Campillo",Farshore,2017
9780192755285,Kite Rider,Geraldine McCaughrean,Oxford University Press,2008
9780192751577,The Kite Rider,Geraldine McCaughrean,Oxford University Press,2002
9780439943666,The ruby in the smoke,Philip Pullman,Scholastic,2006
9780061431838,Jellicoe Road,Melina Marchetta,HarperTeen,2008
9780241466940,The Fortune Men,Nadifa Mohamed,Penguin,2021
9780603568039,Wishing-Chair Collection,Enid Blyton,Farshore,2013
9781035014040,Marcus Rashford You Are a Champion Action Planner - 50 Activities to Achieve Your Dreams,Marcus Rashford,Pan Macmillan,2022
9780141380780,Just in case,Meg Rosoff,Puffin,2006
9780330456845,The Silver Linings Playbook,Matthew Quick,Picador,2010
9781544773278,Pebble Jar,H. Robinson,CreateSpace Independent Publishing Platform,2017
9780552548908,Rani and Sukh,Bali Rai,Corgi,2004
9781862306547,Starting Eleven,Bali Rai,Penguin Random House,2008
9781510105010,Boy at the Back of the Class,Onjali Q. Rauf,Hachette Children's Group,2014
9781408715819,Colourful View from the Top - Twenty-One Extraordinary Stories of Leaders of Colour Achieving Excellence in Business,Jonathan Mildenhall,"Little, Brown Book Group Limited",2024
9780141346809,Percy Jackson and the Lightning Thief,Rick Riordan,Puffin,2013
9780007487288,The Hobbit,J.R.R. Tolkien,HarperCollins Publishers,2012
9780007968183,All That Glitters,,,
9781447204992,The sleep room,Frank Tallis,,2013
9780241335529,Heroes of Olympus - The Lost Hero,Rick Riordan,Puffin,2017
9780241335536,The Heroes of Olympus - The Son of Neptune,Rick Riordan,Puffin,2017
9780241335543,Heroes of Olympus - The Mark of Athena,Rick Riordan,Puffin,2017
9780007489466,Model Misfit (Geek Girl #2),Holly Smale,HarperCollins Children's Books,2013
9780241391686,The Red Pyramid,Rick Riordan,Thorndike Press,2018
9780241391709,"THE KANE CHRONICLES THE THRONE OF FIRE, RICK RIORDAN",Rick Riordan,PENGUIN BOOKS,2018
9781407152134,Mortal Engines 15th Anniversary Edition,Philip Reeve,imusti,2018
9780241448779,Open Water,Caleb Azumah Nelson,"Penguin Books, Limited",2021
9781785940668,DOCTOR WHO SILHOUETTE,JUSTIN RICHARDS,,2014
9781785940651,Doctor Who: The Glamour Chronicles - Big Bang Generation,,,
9780563486435,Doctor Who - The Stone Rose,Jac Rayner,BBC Books,2006
9780563486275,Doctor Who - Winner Takes All,Jacqueline Rayner,BBC Books,2005
9780099441519,Break No Bones,Kathy Reichs,Arrow,2007
9780099255192,Death du jour,Kathy Reichs,Arrow,2000
9781848453937,Soldier,Julie Kagawa,Harper Collins Childrens Books,2016
9781848453821,ROGUE,Julie Kagawa,Mira Ink,2016
9780141325033,The Dead,Charles Higson,Penguin,2011
9780330314688,Nightfall,Isaac Asimov,Pan Books,1991
9780747599876,The Tales of Beedle the Bard,J. K. Rowling,Children's High Level Group,2008
9780141023380,Things Fall Apart,Chinua Achebe,Penguin Books,2006
9780141996738,What White People Can Do Next,"Emma Dabiri, Cristopher Morales Bonilla",,
9780141324524,Christmas Carol,Charles Dickens,Penguin,2009
9780140621211,Little Dorrit,"Charles Dickens, Mary Sebag-Montefiore, Adam Leverton",Penguin Books,1994
9781447228721,The Dance Of The Seagull,Andrea Camilleri,Pan Macmillan,2013
9781447228813,The Treasure Hunt,Andrea Camilleri,Pan Macmillan,2014
